num,Date,Time,Lat,Long,Max_Winds_kt,SSHWS,RMW_nm,Central_Pressure,OCI_mb,Size_nm,States_Affected,Strom_Name,,
1,7/11/1901,0700Z,36.0N,75.8W,70,1,---,-983,1013,175,NC1,---------------,,
2,8/14/1901,2100Z,29.3N,89.6W,75,1,---,-973,1010,300,LA1,---------------,,
3,8/15/1901,1700Z,30.4N,88.8W,75,1,35,973,1010,300,"MS1,AL1",---------------,,
4,9/11/1903,2300Z,26.1N,80.1W,75,1,45,976,1013,150,CFL1,---------------,,
5,9/13/1903,2300Z,30.1N,85.6W,80,1,---,-974,1014,200,AFL1,---------------,,
6,9/16/1903,1100Z,39.1N,74.7W,70,1,---,990,1017,125,"NJ1,DE1",---------------,,
7,9/14/1904,1300Z,33.1N,79.2W,70,1,---,-985,1016,175,SC1,---------------,,
8,10/17/1904,0800Z,25.3N,80.3W,70,1,---,-985,1008,225,CFL1,---------------,,
9,6/17/1906,0300Z,24.7N,81.1W,70,1,---,-986,1012,300,"BFL1,CFL1",---------------,,
10,6/17/1906,0800Z,25.2N,80.7W,75,1,25,979,1012,300,CFL1,---------------,,
11,9/17/1906,2200Z,33.3N,79.2W,80,1,30,977,1014,175,"SC1,NC1",---------------,,
12,9/27/1906,1100Z,30.2N,88.6W,95,2,45,958,1009,250,"MS2,AL2,AFL2,LA1",---------------,,
13,10/18/1906,1000Z,24.7N,81.1W,105,3,10,953,1009,400,"BFL3,CFL3",---------------,,
14,10/18/1906,1200Z,25.3N,80.7W,105,3,10,953,1009,400,"CFL3,BFL1",---------------,,
15,7/31/1908,1100Z,34.6N,77.1W,70,1,---,-985,1016,300,NC1,---------------,,
16,6/29/1909,1700Z,26.1N,97.2W,85,2,---,972,1011,275,ATX2,---------------,,
17,7/21/1909,1700Z,28.9N,95.3W,100,3,20,959,1013,150,CTX3,Velasco,,
18,8/27/1909#,2200Z,23.7N,97.7W,65,1,---,-955,1009,250,ATX1,---------------,,
19,9/21/1909,0000Z,29.5N,91.3W,100,3,30,952,1011,325,"LA3,MS2",Grand Isle,,
20,10/11/1909,1800Z,24.7N,81.0W,100,3,20,957,1008,250,"BFL3,CFL3",---------------,,
21,9/14/1910,2200Z,26.9N,97.4W,90,2,---,-965,1012,250,ATX2,---------------,,
22,10/17/1910*,1900Z,24.6N,82.6W,90,2,---,941,1009,450,BFL2,---------------,,
23,10/18/1910,0600Z,26.5N,82.0W,95,2,30,955,1009,450,BFL2,---------------,,
24,8/11/1911,2200Z,30.3N,87.5W,70,1,---,-982,1013,250,"AFL1,AL1",---------------,,
25,8/28/1911,1000Z,32.2N,80.7W,85,2,25,972,1014,225,"GA1,SC2",---------------,,
26,9/14/1912,0800Z,30.3N,88.4W,65,1,50,-986,1007,150,"AL1,AFL1",---------------,,
27,10/16/1912,1800Z,27.1N,97.4W,85,2,---,-970,1012,250,ATX2,---------------,,
28,6/28/1913,0100Z,27.1N,97.4W,65,1,---,-986,1009,200,ATX1,---------------,,
29,9/3/1913,0800Z,34.7N,76.6W,75,1,40,976,1016,200,NC1,---------------,,
30,10/8/1913,1400Z,33.1N,79.4W,65,1,---,-989,1012,150,SC1,---------------,,
31,8/1/1915,1800Z,28.7N,80.8W,65,1,15,990,1015,175,DFL1,---------------,,
32,8/17/1915,0700Z,29.2N,95.1W,115,4,25,940,1009,325,"CTX4,BTX1,LA1",Galveston,,
33,9/4/1915,1100Z,30.0N,85.4W,80,1,25,982,1012,225,AFL1,---------------,,
34,9/29/1915,1800Z,29.0N,90.3W,110,3,20,944,1009,300,"LA3,MS2",New Orleans,,
35,7/5/1916,2100Z,30.4N,88.4W,105,3,20,950,1008,250,"MS3,AL2,AFL2",---------------,,
36,7/14/1916,0800Z,32.9N,79.5W,95,2,20,960,1013,175,SC2,---------------,,
37,8/18/1916,2200Z,27.0N,97.4W,115,4,25,932,1012,250,ATX4,---------------,,
38,10/18/1916,1400Z,30.4N,87.4W,95,2,20,970,1010,325,"AL2,AFL2",---------------,,
39,9/29/1917,0200Z,30.4N,86.6W,100,3,40,949,1011,250,"AFL3,LA2,AL1",---------------,,
40,8/6/1918,1800Z,29.8N,93.2W,105,3,10,-955,1012,150,"LA3,CTX1",---------------,,
41,8/24/1918,2100Z,34.8N,76.8W,65,1,30,-988,1017,225,NC1,---------------,,
42,9/10/1919,0700Z,24.6N,82.9W,130,4,15,927,1009,275,"BFL4,CFL2",---------------,,
43,9/14/1919,2100Z,27.2N,97.3W,100,3,35,950,1006,250,"ATX3,BTX3",---------------,,
44,9/22/1920,0100Z,29.1N,90.8W,85,2,30,975,1009,250,LA2,---------------,,
45,6/22/1921,1800Z,28.5N,95.9W,80,1,15,980,1011,225,"BTX1,CTX1",---------------,,
46,10/25/1921,2000Z,28.1N,82.8W,100,3,20,958,1009,375,"BFL3,AFL2,DFL1",Tampa Bay,,
47,10/16/1923,0600Z,29.2N,91.0W,70,1,45,983,1001,250,"LA1,MS1",---------------,,
48,8/26/1924*,0400Z,35.5N,74.8W,65,1,35,963,1009,275,NC1,---------------,,
49,8/26/1924*,1900Z,41.2N,70.2W,65,1,40,968,1009,275,MA1,---------------,,
50,9/15/1924,1400Z,29.7N,85.3W,75,1,---,980,1011,150,AFL1,---------------,,
51,10/21/1924,0100Z,25.8N,81.8W,80,1,20,975,1008,375,"BFL1,CFL1",---------------,,
52,7/28/1926,1000Z,29.0N,80.8W,90,2,15,967,1014,300,"DFL2,CFL1",---------------,,
53,8/25/1926,2300Z,29.2N,90.9W,100,3,20,955,1012,275,LA3,---------------,,
54,9/18/1926,1200Z,25.6N,80.3W,125,4,20,930,1008,325,"CFL4,BFL3",Great Miami,,
55,9/20/1926,2200Z,30.3N,87.5W,100,3,15,955,1008,225,"AFL3,AL3,MS1",---------------,,
56,10/21/1926*,0300Z,25.0N,80.3W,75,1,20,949,1009,300,"BFL1,CFL1",---------------,,
57,8/8/1928,0700Z,27.3N,80.2W,85,2,10,977,1014,150,CFL2,---------------,,
58,9/17/1928,0000Z,26.7N,80.0W,125,4,30,929,1009,275,"CFL4,BFL3,AFL1,DFL1",Lake Okeechobee,,
59,9/18/1928,1900Z,32.5N,80.3W,75,1,35,977,1008,350,"GA1,SC1",---------------,,
60,6/28/1929,2100Z,28.3N,96.4W,80,1,10,982,1007,150,BTX1,---------------,,
61,9/28/1929,1300Z,25.0N,80.5W,100,3,30,948,1008,300,"BFL3,",CFL3,---------------,
62,10/1/1929,0400Z,30.2N,85.7W,70,1,---,975,1011,400,AFL1,---------------,,
63,8/14/1932,0400Z,29.0N,95.2W,130,4,10,935,1011,200,"CTX4,BTX1",Freeport,,
64,09/01/1932,0500Z,30.2N,88.1W,75,1,---,979,1009,200,"AFL1,AL1,MS1",---------------,,
65,7/30/1933,1600Z,27.1N,80.1W,65,1,---,988,1018,150,CFL1,---------------,,
66,8/5/1933#,0100Z,25.8N,97.2W,80,1,25,975,1010,200,ATX,---------------,,
67,8/23/1933,1200Z,36.1N,75.8W,75,1,40,966,1008,300,"NC1,VA1,MD1",---------------,,
68,9/5/1933,0400Z,26.1N,97.2W,110,3,20,-940,1010,225,ATX3,---------------,,
69,9/4/1933,0500Z,26.9N,80.1W,110,3,15,948,1013,175,CF3,---------------,,
70,9/16/1933*,1200Z,35.2N,75.4W,85,2,40,952,1013,275,"NC2,VA1",---------------,,
71,6/16/1934,1900Z,29.7N,91.7W,85,2,30,966,1004,275,LA2,---------------,,
72,7/25/1934,1700Z,28.1N,96.8W,75,1,25,-979,1009,225,ATX1,---------------,,
73,9/8/1934*,1000Z,35.3N,75.3W,65,1,---,-975,1014,200,NC1,---------------,,
74,9/8/1934*,2200Z,39.7N,73.4W,65,1,---,-984,1017,200,NJ1,---------------,,
75,9/9/1934,0200Z,40.7N,73.0W,65,1,---,-989,1018,200,NY1,---------------,,
76,9/3/1935,0200Z,24.8N,80.8W,160,5,5,892,1010,300,"CFL5,",BFL5,Labor Day,
77,9/4/1935,2200Z,29.6N,83.4W,85,2,20,-965,1012,350,"AFL2,",IGA1,Labor Day,
