geometry,id,S_US_Inundation_Ar,S_DS_Inundation_Ar,S_Lev_Inundation_Ar,S_Inc_Flood_Scen_Ar,dist_to_S_Levee_Ln,dist_to_S_RM_Dams_Pt,elevation_m,longitude,latitude
POINT (-77.96 34.19),0,False,False,False,False,1000000.0,1000000.0,0,-77.96,34.19
POINT (-77.95899999999999 34.19),1,False,False,False,False,1000000.0,1000000.0,0,-77.95899999999999,34.19
POINT (-77.95799999999998 34.19),2,False,False,False,False,1000000.0,1000000.0,0,-77.95799999999998,34.19
POINT (-77.95699999999998 34.19),3,False,False,False,False,1000000.0,1000000.0,0,-77.95699999999998,34.19
POINT (-77.95599999999997 34.19),4,False,False,False,False,1000000.0,1000000.0,0,-77.95599999999997,34.19
POINT (-77.95499999999997 34.19),5,False,False,False,False,1000000.0,1000000.0,0,-77.95499999999997,34.19
POINT (-77.95399999999997 34.19),6,False,False,False,True,1000000.0,1000000.0,0,-77.95399999999997,34.19
POINT (-77.95299999999996 34.19),7,False,False,False,False,1000000.0,1000000.0,0,-77.95299999999996,34.19
POINT (-77.95199999999996 34.19),8,False,False,False,False,1000000.0,1000000.0,0,-77.95199999999996,34.19
POINT (-77.95099999999995 34.19),9,False,False,False,False,1000000.0,1000000.0,0,-77.95099999999995,34.19
POINT (-77.94999999999995 34.19),10,False,False,False,False,1000000.0,1000000.0,0,-77.94999999999995,34.19
POINT (-77.94899999999994 34.19),11,False,False,False,False,1000000.0,1000000.0,0,-77.94899999999994,34.19
POINT (-77.94799999999994 34.19),12,False,False,False,False,1000000.0,1000000.0,0,-77.94799999999994,34.19
POINT (-77.94699999999993 34.19),13,False,False,False,False,1000000.0,1000000.0,0,-77.94699999999993,34.19
POINT (-77.94599999999993 34.19),14,False,False,False,False,1000000.0,1000000.0,0,-77.94599999999993,34.19
POINT (-77.94499999999992 34.19),15,False,False,False,False,1000000.0,1000000.0,0,-77.94499999999992,34.19
POINT (-77.94399999999992 34.19),16,False,False,False,False,1000000.0,1000000.0,0,-77.94399999999992,34.19
POINT (-77.94299999999991 34.19),17,False,False,False,False,1000000.0,1000000.0,0,-77.94299999999991,34.19
POINT (-77.94199999999991 34.19),18,False,False,False,False,1000000.0,1000000.0,0,-77.94199999999991,34.19
POINT (-77.9409999999999 34.19),19,False,False,False,False,1000000.0,1000000.0,0,-77.9409999999999,34.19
POINT (-77.9399999999999 34.19),20,False,False,False,False,1000000.0,1000000.0,0,-77.9399999999999,34.19
POINT (-77.9389999999999 34.19),21,False,False,False,False,1000000.0,1000000.0,0,-77.9389999999999,34.19
POINT (-77.93799999999989 34.19),22,False,False,False,False,1000000.0,1000000.0,0,-77.93799999999989,34.19
POINT (-77.93699999999988 34.19),23,False,False,False,False,1000000.0,1000000.0,0,-77.93699999999988,34.19
POINT (-77.93599999999988 34.19),24,False,False,False,False,1000000.0,1000000.0,0,-77.93599999999988,34.19
POINT (-77.93499999999987 34.19),25,False,False,False,False,1000000.0,1000000.0,0,-77.93499999999987,34.19
POINT (-77.93399999999987 34.19),26,False,False,False,False,1000000.0,1000000.0,0,-77.93399999999987,34.19
POINT (-77.93299999999986 34.19),27,False,False,False,False,1000000.0,1000000.0,0,-77.93299999999986,34.19
POINT (-77.93199999999986 34.19),28,False,False,False,False,1000000.0,1000000.0,0,-77.93199999999986,34.19
POINT (-77.93099999999986 34.19),29,False,False,False,False,1000000.0,1000000.0,0,-77.93099999999986,34.19
POINT (-77.92999999999985 34.19),30,False,False,False,False,1000000.0,1000000.0,0,-77.92999999999985,34.19
POINT (-77.92899999999985 34.19),31,False,False,False,False,1000000.0,1000000.0,0,-77.92899999999985,34.19
POINT (-77.92799999999984 34.19),32,False,False,False,False,1000000.0,1000000.0,0,-77.92799999999984,34.19
POINT (-77.92699999999984 34.19),33,False,False,False,False,1000000.0,1000000.0,0,-77.92699999999984,34.19
POINT (-77.92599999999983 34.19),34,False,False,False,False,1000000.0,1000000.0,0,-77.92599999999983,34.19
POINT (-77.92499999999983 34.19),35,False,False,False,False,1000000.0,1000000.0,0,-77.92499999999983,34.19
POINT (-77.92399999999982 34.19),36,False,False,False,False,1000000.0,1000000.0,0,-77.92399999999982,34.19
POINT (-77.92299999999982 34.19),37,False,False,False,False,1000000.0,1000000.0,0,-77.92299999999982,34.19
POINT (-77.92199999999981 34.19),38,False,False,False,False,1000000.0,1000000.0,0,-77.92199999999981,34.19
POINT (-77.92099999999981 34.19),39,False,False,False,False,1000000.0,1000000.0,0,-77.92099999999981,34.19
POINT (-77.9199999999998 34.19),40,False,False,False,False,1000000.0,1000000.0,0,-77.9199999999998,34.19
POINT (-77.9189999999998 34.19),41,False,False,False,False,1000000.0,1000000.0,0,-77.9189999999998,34.19
POINT (-77.9179999999998 34.19),42,False,False,False,False,1000000.0,1000000.0,0,-77.9179999999998,34.19
POINT (-77.91699999999979 34.19),43,False,False,False,False,1000000.0,1000000.0,0,-77.91699999999979,34.19
POINT (-77.91599999999978 34.19),44,False,False,False,False,1000000.0,1000000.0,0,-77.91599999999978,34.19
POINT (-77.91499999999978 34.19),45,False,False,False,False,1000000.0,1000000.0,0,-77.91499999999978,34.19
POINT (-77.91399999999977 34.19),46,False,False,False,False,1000000.0,1000000.0,0,-77.91399999999977,34.19
POINT (-77.91299999999977 34.19),47,False,False,False,False,1000000.0,1000000.0,0,-77.91299999999977,34.19
POINT (-77.91199999999976 34.19),48,False,False,False,False,1000000.0,1000000.0,0,-77.91199999999976,34.19
